Curso
Principios SOLID
Java SpringBoot
Java semi-avanzado
Java Avanzado
Arquitectura de Software
Patrones de diseño:
Git
"Github Actions , Jenkins (CI/CD)"
" Rust Curso-Google"
Ciberseguridad
Python
React
"Backend RoadMap.  "
QT con C++
Angular
Flutter: [ Por ahora pausado]
React Native [ futuro ]
SpringBoot ACM
